1,2,3,4,5
0.35,262.5,31.1,20,6.22
0.35,262.5,25.8,20,5.16
0.35,262.5,41.3,20,8.26
0.35,262.5,40.7,20,8.14
0.35,262.5,37.4,20,7.48
0.35,262.5,44.6,20,8.92
0.35,262.5,50.9,20,10.18
0.35,262.5,49.8,20,9.96
0.35,262.5,42.9,20,8.58
0.35,262.5,40.4,20,8.08
0.35,262.5,46.5,20,9.3
0.35,262.5,39.5,20,7.9
0.35,262.5,36.2,20,7.24
0.35,262.5,31.1,20,6.22
0.35,262.5,30.0,20,6.0
0.35,262.5,32.5,20,6.5
0.35,262.5,32.8,20,6.5600000000000005
0.35,262.5,29.9,20,5.98
0.35,262.5,28.4,20,5.68
0.35,262.5,27.1,20,5.42
0.35,262.5,27.4,20,5.48
0.35,262.5,28.8,20,5.76
0.35,262.5,30.2,20,6.04
0.35,262.5,37.1,20,7.42
0.35,262.5,31.9,20,6.38
0.35,262.5,29.8,20,5.96
0.35,262.5,31.5,20,6.3
0.35,262.5,29.9,20,5.98
0.35,262.5,30.3,20,6.0600000000000005
0.35,262.5,27.3,20,5.46
0.35,262.5,51.1,20,10.22
0.35,262.5,43.2,20,8.64
0.35,262.5,44.3,20,8.86
0.35,262.5,59.7,20,11.94
0.35,262.5,52.6,20,10.52
0.35,262.5,57.4,20,11.48
0.35,262.5,51.1,20,10.22
0.35,262.5,44.6,20,8.92
0.35,262.5,42.7,20,8.540000000000001
0.35,262.5,44.7,20,8.94
0.35,262.5,46.2,20,9.24
0.35,262.5,47.1,20,9.42
0.35,262.5,47.8,20,9.56
0.35,262.5,49.7,20,9.94
0.35,262.5,46.5,20,9.3
0.35,262.5,46.1,20,9.22
0.35,262.5,42.8,20,8.56
0.35,262.5,41.6,20,8.32
0.35,262.5,40.4,20,8.08
0.35,262.5,32.8,20,6.5600000000000005
0.35,262.5,31.0,20,6.2
0.35,262.5,36.6,20,7.32
0.35,262.5,42.5,20,8.5
0.35,262.5,40.0,20,8.0
0.35,262.5,46.2,20,9.24
0.35,262.5,45.0,20,9.0
0.35,262.5,51.7,20,10.34
0.35,262.5,48.1,20,9.620000000000001
0.35,262.5,50.8,20,10.16
0.35,262.5,51.3,20,10.26
0.35,262.5,47.9,20,9.58
0.35,262.5,47.6,20,9.52
0.35,262.5,52.9,20,10.58
0.35,262.5,49.8,20,9.96
0.35,262.5,43.5,20,8.700000000000001
0.35,262.5,42.3,20,8.46
0.35,262.5,46.1,20,9.22
0.35,262.5,45.9,20,9.18
0.35,262.5,46.6,20,9.32
0.35,262.5,46.4,20,9.28
0.35,262.5,44.7,20,8.94
0.35,262.5,47.6,20,9.52
0.35,262.5,44.9,20,8.98
0.35,262.5,46.8,20,9.36
0.35,262.5,44.6,20,8.92
0.35,262.5,47.1,20,9.42
0.35,262.5,47.4,20,9.48
0.35,262.5,52.7,20,10.540000000000001
0.34,255.00000000000003,52.8,18,9.504
0.35,262.5,51.0,20,10.200000000000001
0.35,262.5,48.6,20,9.72
0.35,262.5,30.8,20,6.16
0.35,262.5,35.7,20,7.140000000000001
0.35,262.5,39.5,20,7.9
0.35,262.5,38.7,20,7.74
0.35,262.5,37.6,20,7.5200000000000005
0.35,262.5,35.2,20,7.04
0.35,262.5,42.1,20,8.42
0.35,262.5,52.9,20,10.58
0.35,262.5,50.6,20,10.120000000000001
0.35,262.5,48.5,20,9.700000000000001
0.35,262.5,57.8,20,11.56
0.35,262.5,53.1,20,10.620000000000001
0.35,262.5,59.8,20,11.96
0.35,262.5,51.3,20,10.26
0.35,262.5,50.7,20,10.14
0.35,262.5,58.6,20,11.72
0.35,262.5,52.1,20,10.42
0.35,262.5,49.3,20,9.86
0.35,262.5,46.1,20,9.22
0.35,262.5,44.7,20,8.94
0.35,262.5,42.0,20,8.4
0.35,262.5,56.8,20,11.36
0.35,262.5,56.4,20,11.28
0.35,262.5,66.8,20,13.36
0.35,262.5,68.9,20,13.780000000000001
0.35,262.5,57.6,20,11.52
0.35,262.5,53.8,20,10.76
0.35,262.5,50.4,20,10.08
0.35,262.5,49.8,20,9.96
0.35,262.5,62.7,20,12.540000000000001
0.35,262.5,56.6,20,11.32
0.35,262.5,57.6,20,11.52
0.35,262.5,49.3,20,9.86
0.35,262.5,48.7,20,9.74
0.35,262.5,38.9,20,7.78
0.35,262.5,51.6,20,10.32
0.35,262.5,41.9,20,8.38
0.35,262.5,40.5,20,8.1
0.35,262.5,39.8,20,7.96
0.35,262.5,38.9,20,7.78
0.35,262.5,60.0,20,12.0
0.35,262.5,50.0,20,10.0
0.35,262.5,41.9,20,8.38
0.35,262.5,39.1,20,7.82
0.35,262.5,41.1,20,8.22
0.35,262.5,49.7,20,9.94
0.35,262.5,51.6,20,10.32
0.35,262.5,53.2,20,10.64
0.35,262.5,46.0,20,9.200000000000001
0.35,262.5,45.3,20,9.06
0.35,262.5,46.1,20,9.22
0.35,262.5,48.5,20,9.700000000000001
0.35,262.5,52.6,20,10.52
0.35,262.5,47.7,20,9.540000000000001
0.35,262.5,43.4,20,8.68
0.35,262.5,42.8,20,8.56
0.35,262.5,41.9,20,8.38
0.35,262.5,42.7,20,8.540000000000001
0.35,262.5,41.9,20,8.38
0.35,262.5,43.3,20,8.66
0.35,262.5,44.6,20,8.92
0.35,262.5,45.1,20,9.02
0.35,262.5,48.3,20,9.66
0.35,262.5,44.2,20,8.84
0.35,262.5,45.1,20,9.02
0.35,262.5,39.6,20,7.92
0.35,262.5,47.1,20,9.42
0.35,262.5,41.8,20,8.36
0.35,262.5,42.5,20,8.5
0.34,255.00000000000003,46.6,18,8.388000000000002
0.35,262.5,42.1,20,8.42
0.35,262.5,37.9,20,7.58
0.35,262.5,44.5,20,8.9
0.35,262.5,41.1,20,8.22
0.35,262.5,39.8,20,7.96
0.35,262.5,41.1,20,8.22
0.35,262.5,38.6,20,7.72
0.35,262.5,42.7,20,8.540000000000001
0.35,262.5,39.0,20,7.8
0.35,262.5,39.9,20,7.98
0.35,262.5,42.3,20,8.46
0.35,262.5,37.1,20,7.42
0.35,262.5,35.2,20,7.04
0.35,262.5,35.5,20,7.1000000000000005
0.35,262.5,40.0,20,8.0
0.35,262.5,42.5,20,8.5
0.35,262.5,37.1,20,7.42
0.35,262.5,39.8,20,7.96
0.35,262.5,45.6,20,9.120000000000001
0.35,262.5,40.4,20,8.08
0.35,262.5,35.9,20,7.18
0.35,262.5,34.2,20,6.84
0.35,262.5,37.3,20,7.46
0.35,262.5,44.2,20,8.84
0.35,262.5,39.4,20,7.88
0.35,262.5,44.8,20,8.96
0.35,262.5,40.3,20,8.06
0.35,262.5,44.1,20,8.82
0.35,262.5,46.4,20,9.28
0.35,262.5,43.5,20,8.700000000000001
0.35,262.5,39.3,20,7.86
0.35,262.5,43.9,20,8.78
0.35,262.5,48.1,20,9.620000000000001
0.35,262.5,48.8,20,9.76
0.35,262.5,48.2,20,9.64
0.35,262.5,50.1,20,10.02
0.35,262.5,42.1,20,8.42
0.35,262.5,39.9,20,7.98
0.35,262.5,37.8,20,7.5600000000000005
0.35,262.5,41.1,20,8.22
0.35,262.5,39.7,20,7.94
0.35,262.5,38.7,20,7.74
0.35,262.5,39.4,20,7.88
0.35,262.5,42.0,20,8.4
0.35,262.5,37.5,20,7.5
0.35,262.5,42.8,20,8.56
0.35,262.5,40.1,20,8.02
0.35,262.5,44.4,20,8.88
0.35,262.5,64.5,20,12.9
0.35,262.5,64.9,20,12.98
0.35,262.5,48.8,20,9.76
0.35,262.5,42.7,20,8.540000000000001
0.35,262.5,41.6,20,8.32
0.35,262.5,39.2,20,7.84
0.35,262.5,43.1,20,8.620000000000001
0.35,262.5,42.9,20,8.58
0.35,262.5,45.4,20,9.08
0.35,262.5,47.8,20,9.56
0.35,262.5,43.7,20,8.74
0.35,262.5,44.9,20,8.98
0.35,262.5,55.8,20,11.16
0.35,262.5,48.6,20,9.72
0.35,262.5,52.3,20,10.46
0.35,262.5,53.1,20,10.620000000000001
0.35,262.5,57.2,20,11.44
0.35,262.5,58.8,20,11.76
0.35,262.5,61.2,20,12.24
0.35,262.5,52.4,20,10.48
0.35,262.5,49.7,20,9.94
0.35,262.5,51.9,20,10.38
0.35,262.5,46.2,20,9.24
0.35,262.5,52.0,20,10.4
0.35,262.5,41.1,20,8.22
0.35,262.5,40.1,20,8.02
0.35,262.5,37.0,20,7.4
0.35,262.5,42.8,20,8.56
0.35,262.5,46.2,20,9.24
0.35,262.5,45.9,20,9.18
0.35,262.5,45.7,20,9.14
0.35,262.5,46.4,20,9.28
0.35,262.5,47.2,20,9.44
0.35,262.5,48.1,20,9.620000000000001
0.35,262.5,48.0,20,9.6
0.35,262.5,49.7,20,9.94
0.35,262.5,43.1,20,8.620000000000001
0.35,262.5,38.3,20,7.66
0.35,262.5,37.2,20,7.44
0.35,262.5,37.0,20,7.4
0.35,262.5,35.8,20,7.16
0.35,262.5,36.4,20,7.28
0.35,262.5,40.2,20,8.040000000000001
0.35,262.5,40.4,20,8.08
0.35,262.5,38.5,20,7.7
0.35,262.5,39.3,20,7.86
0.35,262.5,38.6,20,7.72
0.35,262.5,41.4,20,8.28
0.35,262.5,37.9,20,7.58
0.35,262.5,56.9,20,11.38
0.35,262.5,54.6,20,10.92
0.35,262.5,41.9,20,8.38
0.35,262.5,44.7,20,8.94
0.35,262.5,50.4,20,10.08
0.35,262.5,47.2,20,9.44
0.35,262.5,56.3,20,11.26
0.35,262.5,42.1,20,8.42
0.35,262.5,47.4,20,9.48
0.35,262.5,49.2,20,9.84
0.35,262.5,44.9,20,8.98
0.35,262.5,32.7,20,6.54
0.35,262.5,39.7,20,7.94
0.35,262.5,47.8,20,9.56
0.35,262.5,44.6,20,8.92
0.35,262.5,40.2,20,8.040000000000001
0.35,262.5,47.3,20,9.46
0.35,262.5,39.8,20,7.96
0.35,262.5,43.1,20,8.620000000000001
0.35,262.5,46.2,20,9.24
0.35,262.5,47.9,20,9.58
0.35,262.5,49.1,20,9.82
0.35,262.5,43.3,20,8.66
0.35,262.5,49.3,20,9.86
0.35,262.5,41.2,20,8.24
0.35,262.5,39.6,20,7.92
0.35,262.5,38.4,20,7.68
0.35,262.5,39.1,20,7.82
