Концентрация CH4,"Расход смеси, м3/мин","Расход CH4, м3/мин"
39.2,20,7.84
43.1,20,8.620000000000001
42.9,20,8.58
45.4,20,9.08
47.8,20,9.56
43.7,20,8.74
44.9,20,8.98
55.8,20,11.16
48.6,20,9.72
52.3,20,10.46
53.1,20,10.620000000000001
57.2,20,11.44
58.8,20,11.76
61.2,20,12.24
52.4,20,10.48
49.7,20,9.94
51.9,20,10.38
46.2,20,9.24
52.0,20,10.4
41.1,20,8.22
40.1,20,8.02
37.0,20,7.4
42.8,20,8.56
46.2,20,9.24
45.9,20,9.18
45.7,20,9.14
46.4,20,9.28
47.2,20,9.44
48.1,20,9.620000000000001
48.0,20,9.6
49.7,20,9.94
43.1,20,8.620000000000001
38.3,20,7.66
37.2,20,7.44
37.0,20,7.4
35.8,20,7.16
36.4,20,7.28
40.2,20,8.040000000000001
40.4,20,8.08
38.5,20,7.7
39.3,20,7.86
38.6,20,7.72
41.4,20,8.28
37.9,20,7.58
56.9,20,11.38
54.6,20,10.92
41.9,20,8.38
44.7,20,8.94
50.4,20,10.08
47.2,20,9.44
56.3,20,11.26
42.1,20,8.42
47.4,20,9.48
49.2,20,9.84
44.9,20,8.98
32.7,20,6.54
39.7,20,7.94
47.8,20,9.56
44.6,20,8.92
40.2,20,8.040000000000001
47.3,20,9.46
39.8,20,7.96
43.1,20,8.620000000000001
46.2,20,9.24
47.9,20,9.58
49.1,20,9.82
43.3,20,8.66
49.3,20,9.86
41.2,20,8.24
39.6,20,7.92
38.4,20,7.68
39.1,20,7.82
37.8,20,7.5600000000000005
43.9,20,8.78
42.1,20,8.42
44.7,20,8.94
41.6,20,8.32
42.1,20,8.42
35.1,20,7.0200000000000005
36.2,20,7.24
41.0,20,8.2
41.5,20,8.3
40.1,20,8.02
39.6,20,7.92
40.6,20,8.120000000000001
51.2,20,10.24
48.6,20,9.72
45.4,20,9.08
48.7,20,9.74
44.3,20,8.86
43.7,20,8.74
50.2,20,10.040000000000001
52.1,20,10.42
54.5,20,10.9
50.1,20,10.02
49.7,20,9.94
52.8,20,10.56
53.6,20,10.72
51.3,20,10.26
49.7,20,9.94
47.3,20,9.46
43.5,20,8.700000000000001
46.2,20,9.24
56.6,20,11.32
49.8,20,9.96
52.4,20,10.48
38.2,20,7.640000000000001
44.8,20,8.96
54.9,20,10.98
41.5,20,8.3
55.1,20,11.02
54.3,20,10.86
45.8,20,9.16
51.1,20,10.22
40.0,20,8.0
46.1,20,9.22
41.1,20,8.22
39.8,20,7.96
36.7,20,7.34
42.0,20,8.4
41.8,20,8.36
46.5,20,9.3
50.1,20,10.02
54.0,20,10.8
45.6,20,9.120000000000001
41.0,20,8.2
47.6,20,9.52
51.3,20,10.26
43.8,20,8.76
44.7,20,8.94
41.1,20,8.22
42.3,20,8.46
40.5,20,8.1
39.7,20,7.94
45.2,20,9.040000000000001
39.9,20,7.98
42.7,20,8.540000000000001
42.1,20,8.42
41.8,20,8.36
52.3,20,10.46
49.7,20,9.94
56.2,20,11.24
47.4,20,9.48
42.6,20,8.52
41.1,20,8.22
54.3,20,10.86
49.5,20,9.9
45.2,20,9.040000000000001
38.9,20,7.78
46.4,20,9.28
44.6,20,8.92
41.3,20,8.26
39.4,20,7.88
36.9,20,7.38
43.7,20,8.74
43.1,20,8.620000000000001
41.5,20,8.3
44.2,20,8.84
46.9,20,9.38
45.8,20,9.16
49.1,20,9.82
44.9,20,8.98
43.3,20,8.66
44.0,20,8.8
38.7,20,7.74
41.2,20,8.24
37.9,20,7.58
41.4,20,8.28
44.1,20,8.82
44.6,20,8.92
44.8,20,8.96
47.1,20,9.42
51.3,20,10.26
44.8,20,8.96
